PaperId,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation
2793131601,2577158243,47519274.0,2,Chun Hsin Chen,"Department of Psychiatry, Wan-Fang Hospital, Taipei Medical University, Taipei, Taiwan; ; Department of Psychiatry, School of Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan"
2793131601,2790490633,47519274.0,1,Kah Kheng Goh,"a Department of Psychiatry , Wan-Fang Hospital, Taipei Medical University , Taipei , Taiwan."
2794933412,2017947848,79238269.0,2,L. Boza,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2167028327,79238269.0,4,M.P. Revuelta,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2618102289,79238269.0,5,M.I. Sanz,"Departamento de Matemática Aplicada I, Universidad de Sevilla, Avenida de la Reina Mercedes 4, C.P. 41012 Sevilla, Spain"
2794933412,2778889585,1294671590.0,3,S. Eliahou,"CNRS, FR 2956, France"
2794933412,2794505054,34034455.0,1,S.D. Adhikari,"Department of Mathematics, Ramakrishna Mission Vivekananda University, Belur Math, Howrah 711202, W.B., India"
2795645598,2119513418,198091727.0,3,Yong-Hong Yao,Tianjin Polytechnic University
2795645598,2649049497,108743333.0,1,Feng Qi,Inner Mongolia University for Nationalities
2795645598,2649049497,198091727.0,1,Feng Qi,Tianjin Polytechnic University
2795645598,2740001282,113018520.0,2,Dongkyu Lim,Andong National University;
2796589323,115487,205783295.0,3,Erik Thorbecke,"B16 Martha Van Rensselaer Hall, Cornell University, Ithaca, NY 14850, United States"
2796589323,143531978,1330402449.0,2,Abebe Shimeles,"African Development Bank Group, Avenue Joseph Anoma, 01 BP 1387 Abidjan 01, Côte d'Ivoire"
2796589323,2241116528,87208437.0,1,Yusi Ouyang,"228 Chapman Hall, The University of Tulsa, Tulsa, OK 74104, United States"
2800167010,398408348,1334415907.0,3,Ant T. Lettinga,"University Medical Center Groningen, Department of Epidemiology, The Netherlands."
2800167010,2030137627,,1,Louise Meijering,Urban and Regional Studies Institute
